ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
33450,1.7066666666666668,1,5,10.946666666666667,3.0,11.0,-3.333444492490779e-05,3.473333333333333,371,4.46
33600,2.006666666666667,1,21,10.56,2.0,11.0,-3.333444492490779e-05,3.36,372,4.46
33750,1.6733333333333333,1,4,10.84,3.0,11.0,-3.333444492490779e-05,3.44,373,4.46
33900,1.9133333333333333,1,4,10.786666666666667,3.0,11.0,-3.333444492490779e-05,3.2933333333333334,374,4.406666666666666
34050,1.8466666666666667,1,21,10.833333333333334,2.0,11.0,-3.333444492490779e-05,3.486666666666667,375,4.406666666666666
34200,1.78,1,21,10.78,2.0,11.0,-3.333444492490779e-05,3.1933333333333334,376,4.386666666666667
34350,2.32,1,21,10.653333333333334,2.0,11.0,-3.333444492490779e-05,3.02,377,4.333333333333333
34500,1.84,1,5,10.786666666666667,3.0,11.0,-3.333444492490779e-05,3.3333333333333335,378,4.32
34650,1.7333333333333334,1,4,10.893333333333333,3.0,11.0,-3.333444492490779e-05,3.4466666666666668,379,4.32
34800,1.66,1,4,10.946666666666667,3.0,11.0,-3.333444492490779e-05,3.3933333333333335,380,4.38
34950,1.7466666666666666,1,4,10.946666666666667,3.0,11.0,-3.333444492490779e-05,3.4,381,4.366666666666666
35100,1.9666666666666666,1,21,10.726666666666667,2.0,11.0,-3.333444492490779e-05,3.2466666666666666,382,4.44
35250,1.78,1,5,10.893333333333333,3.0,11.0,-3.333444492490779e-05,3.2,383,4.426666666666667
35400,1.7466666666666666,1,5,10.893333333333333,3.0,11.0,-3.333444492490779e-05,3.2133333333333334,384,4.426666666666667
35550,1.66,1,3,11.0,11.0,11.0,-3.333444492490779e-05,3.28,385,4.433333333333334
35700,1.8133333333333332,1,3,11.0,11.0,11.0,-3.333444492490779e-05,3.2133333333333334,386,4.366666666666666
35850,1.72,1,4,10.84,3.0,11.0,-3.333444492490779e-05,3.513333333333333,387,4.366666666666666
36000,2.04,1,21,10.773333333333333,2.0,11.0,-3.333444492490779e-05,3.533333333333333,388,4.42
36150,1.8,1,21,10.886666666666667,2.0,11.0,-3.333444492490779e-05,3.6133333333333333,389,4.413333333333333
